partners/availableDates/0,partners/availableDates/1,partners/availableDates/2,partners/availableDates/3,partners/availableDates/4,partners/availableDates/5,partners/availableDates/6,partners/availableDates/7,partners/availableDates/8,partners/country,partners/email,partners/firstName,partners/lastName,partners/availableDates/9,partners/availableDates/10,partners/availableDates/11,partners/availableDates/12
2017-05-19,2017-05-20,2017-05-21,2017-05-26,2017-05-28,2017-05-29,2017-06-01,2017-06-02,2017-06-03,United States,rketring@codingtemple.com,Rebbeca,Ketring,,,,
2017-05-25,2017-05-28,2017-05-29,2017-05-30,2017-05-31,2017-06-02,2017-06-03,,,United States,ccafaro@codingtemple.com,Casey,Cafaro,,,,
2017-05-18,2017-05-20,2017-05-21,2017-05-22,2017-05-25,2017-05-26,2017-05-28,2017-05-29,2017-05-31,United States,mlacau@codingtemple.com,Merilyn,Lacau,2017-06-01,2017-06-02,2017-06-03,
2017-05-16,2017-05-21,2017-05-28,2017-05-29,2017-06-02,2017-06-03,,,,United States,eomersa@codingtemple.com,Ester,Omersa,,,,
2017-05-18,2017-05-22,2017-05-25,2017-05-28,2017-05-29,2017-05-31,2017-06-01,2017-06-02,2017-06-03,United States,ssheahan@codingtemple.com,Shanna,Sheahan,,,,
2017-05-16,2017-05-18,2017-05-19,2017-05-20,2017-05-22,2017-05-23,2017-05-25,2017-05-28,2017-05-29,United States,msoult@codingtemple.com,Melvin,Soult,2017-06-01,2017-06-02,2017-06-03,
2017-05-22,2017-05-23,2017-05-26,2017-05-28,2017-05-29,2017-06-01,2017-06-02,2017-06-03,,United States,bleeks@codingtemple.com,Bong,Leeks,,,,
2017-05-18,2017-05-21,2017-05-23,2017-05-24,2017-05-26,2017-05-28,2017-05-29,2017-06-02,2017-06-03,United States,lsolid@codingtemple.com,Luna,Solid,,,,
2017-05-19,2017-05-22,2017-05-25,2017-05-26,2017-05-28,2017-05-29,2017-05-30,2017-05-31,2017-06-01,United States,bwatton@codingtemple.com,Britt,Watton,2017-06-02,2017-06-03,,
2017-05-16,2017-05-22,2017-05-24,2017-05-25,2017-05-26,2017-05-28,2017-05-29,2017-06-02,2017-06-03,United States,jmasher@codingtemple.com,Jeremiah,Masher,,,,
2017-05-19,2017-05-24,2017-05-25,2017-05-26,2017-05-28,2017-05-29,2017-06-02,2017-06-03,,United States,afernadez@codingtemple.com,Aaron,Fernadez,,,,
2017-05-17,2017-05-18,2017-05-19,2017-05-21,2017-05-25,2017-05-28,2017-05-29,2017-05-31,2017-06-01,United States,mmottern@codingtemple.com,Meta,Mottern,2017-06-02,2017-06-03,2017-06-06,
2017-05-19,2017-05-24,2017-05-25,2017-05-26,2017-05-28,2017-05-29,2017-06-01,2017-06-02,2017-06-03,United States,pdougherty@codingtemple.com,Phung,Dougherty,,,,
2017-05-24,2017-05-28,2017-05-29,2017-06-01,2017-06-02,2017-06-03,,,,United States,sdegunya@codingtemple.com,Suzan,Degunya,,,,
2017-05-18,2017-05-21,2017-05-22,2017-05-25,2017-05-28,2017-05-29,2017-06-02,2017-06-03,2017-06-08,United States,sbeemon@codingtemple.com,Shaunta,Beemon,2017-06-09,,,
2017-05-16,2017-05-19,2017-05-21,2017-05-26,2017-05-28,2017-05-29,2017-06-02,2017-06-03,,United States,mvirgel@codingtemple.com,Maggie,Virgel,,,,
2017-05-21,2017-05-24,2017-05-26,2017-05-31,,,,,,United States,szenger@codingtemple.com,Soraya,Zenger,,,,
2017-05-21,2017-05-22,2017-05-23,2017-05-31,2017-06-01,,,,,United States,jglosson@codingtemple.com,Jude,Glosson,,,,
2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-23,2017-05-24,2017-05-26,2017-05-31,2017-06-01,United States,fcragin@codingtemple.com,Felicita,Cragin,2017-06-07,,,
2017-05-17,2017-05-19,2017-05-22,2017-05-25,2017-05-26,,,,,United States,sdockal@codingtemple.com,Shakita,Dockal,,,,
2017-05-17,2017-05-21,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-06-09,,,United States,rbreznay@codingtemple.com,Robbyn,Breznay,,,,
2017-05-18,2017-05-19,2017-06-01,,,,,,,United States,dbelgrave@codingtemple.com,Donny,Belgrave,,,,
2017-05-19,2017-05-21,2017-05-25,2017-06-01,,,,,,United States,nkobbe@codingtemple.com,Nada,Kobbe,,,,
2017-05-18,2017-05-21,2017-05-30,,,,,,,United States,sskinnen@codingtemple.com,Stacy,Skinnen,,,,
2017-05-18,2017-05-24,2017-05-26,2017-05-31,2017-06-08,,,,,United States,lskeeters@codingtemple.com,Lanie,Skeeters,,,,
